publishedsince_days,brand,model,Price,year,KMs,Engine,Gear,Color,warranty_months,type of ad,rechargeable,battery_capacity_km,engine_power_kW,battery_volts_V,battery_intensity_A
60,AUDI,     Q5 (2E GENERATION),81480,2022,11977,Diesel,automatic,grismanhattan,0,Professional,,,,,
47,CHEVROLET,     CORVETTE C1 CABRIOLET,81400,1959,28600,Petrol,mechanic,jauneverni,6,Professional,,,,,
20,BMW,     X3 G01,80550,2022,10791,Petrol-electric hybrid,automatic,mbrooklyngraumã©tallisã©,0,Professional,yes,49.0,,354.0,34.0
60,AUDI,     Q3 (2E GENERATION),80350,2021,12226,Petrol-electric hybrid,automatic,noir,12,Professional,yes,,,224.0,58.0
60,AUDI,     Q5 (2E GENERATION) SPORTBACK,80150,2022,10350,Diesel,automatic,noir,24,Professional,,,,,
60,DACIA,     LODGY,8910,2014,147342,Diesel,mechanic,blanc,3,Professional,,,,,
18,DACIA,     SANDERO 2,8860,2020,14814,Petrol,mechanic,bleu,12,Professional,,,,,
8,CITROEN,     C3 ENTREPRISE (2E GENERATION),8680,2016,61444,Diesel,mechanic,blanc,12,Professional,,,,,
60,CITROEN,     C4 PICASSO 2,8620,2015,183372,Diesel,mechanic,blancbanquise,3,Professional,,,,,
27,CITROEN,     C3 (2E GENERATION),8610,2015,122902,Petrol,mechanic,rougerubi,3,Professional,,,,,
26,PEUGEOT,     208 AFFAIRE,8580,2019,152349,Diesel,mechanic,darkblue,8,Professional,,,,,
13,RENAULT,     CLIO 4,8540,2017,137313,Diesel,mechanic,blancmetal,3,Professional,,,66.0,,
8,VOLKSWAGEN,     GOLF 5,8540,2009,168392,Petrol,mechanic,bleuf,6,Professional,,,,,
9,FORD,     FIESTA 5,8380,2013,91770,Diesel,mechanic,noirmetal,12,Professional,,,52.0,,
8,OPEL,     ANTARA,8300,2008,184896,Diesel,automatic,gris,6,Professional,,,,,
25,CHRYSLER,     VOYAGER  3,8220,2006,149506,Diesel,automatic,grisfoncã©metal,6,Professional,,,110.0,,
16,CITROEN,     C3 ENTREPRISE (2E GENERATION),8170,2017,131225,Diesel,mechanic,gris,0,Professional,,,,,
