publishedsince_days,brand,model,Price,year,KMs,Engine,Gear,Color,warranty_months,type of ad,rechargeable,battery_capacity_km,engine_power_kW,battery_volts_V,battery_intensity_A
39,NISSAN,     X-TRAIL 3,25900,2019,39309,Diesel,mechanic,noir,12,Professional,,,,,
60,PEUGEOT,     308 (2E GENERATION) SW,25870,2022,6328,Petrol,mechanic,blanc,0,Professional,,,,,
39,SKODA,     SCALA,25870,2021,24860,Petrol,automatic,rouge,24,Professional,,,,,
32,PEUGEOT,     308 (2E GENERATION) SW,25870,2022,11074,Petrol,mechanic,gris,0,Professional,,,,,
40,BMW,     SERIE 3 G21 TOURING,25860,2020,84802,Diesel,automatic,noir,12,Professional,,,,,
15,FIAT,     500 (3E GENERATION),25860,2022,12,Electric,automatic,mineralgreymã©tal,0,Professional,yes,322.0,,364.0,
10,VOLKSWAGEN,     POLO 6,25840,2021,23600,Petrol,automatic,gris,11,Professional,,,,,
25,VOLKSWAGEN,     GOLF 7,25830,2020,16503,Petrol,automatic,rouge,12,Professional,,,,,
23,NISSAN,     X-TRAIL 3,25810,2017,51220,Diesel,automatic,noir,6,Professional,,,,,
12,BMW,     SERIE 1 F20 5 PORTES,25810,2019,53690,Diesel,mechanic,noir,12,Professional,,,,,
40,VOLKSWAGEN,     SHARAN 2,25800,2014,99669,Diesel,mechanic,noir,12,Professional,,,,,
34,MAZDA,     MX5 (4E GENERATION) ST,25800,2019,15196,Petrol,mechanic,noirmetal,6,Professional,,,118.0,,
40,NISSAN,     QASHQAI 2,25780,2019,51175,Petrol,automatic,noir,6,Professional,,,,,
25,FORD,     PUMA 2,25750,2021,9918,Petrol,mechanic,grisfoncã©,12,Professional,,,,,
60,MERCEDES,     CLASSE C 3 SW,25720,2019,99150,Diesel,automatic,noir,12,Professional,,,,,
60,CITROEN,     C4 (3E GENERATION),25720,2022,1,Petrol,mechanic,platine,0,Professional,,,,,
60,LAND ROVER,     RANGE ROVER EVOQUE,25720,2015,122967,Diesel,automatic,grisfoncã©metal,6,Professional,,,110.0,,
50,PEUGEOT,     2008 (2E GENERATION),25720,2021,12,Petrol,mechanic,grisartense,0,Professional,,,,,
33,BMW,     SERIE 1 F20 5 PORTES,25710,2019,26515,Petrol,mechanic,blanc,24,Professional,,,,,
44,CITROEN,     C3 AIRCROSS,25710,2022,523,Diesel,automatic,grisacier(m),12,Professional,,,,,
60,CITROEN,     BERLINGO 3 MULTISPACE,25700,2022,7137,Diesel,mechanic,grisfonce,12,Professional,,,,,
51,FORD,     FOCUS 4,25600,2022,11,Petrol,mechanic,bleu,21,Professional,,,,,
4,CITROEN,     JUMPER 2,25600,2019,134464,Diesel,mechanic,gris,6,Professional,,,,,
41,VOLKSWAGEN,     GOLF 7 GTI,25600,2015,143237,Petrol,automatic,blanc,0,Professional,,,,,
8,BMW,     Z4 E89,25590,2011,76739,Petrol,mechanic,noir,6,Professional,,,,,
60,OPEL,     CROSSLAND,25580,2022,18,Diesel,mechanic,grisfoncã©,24,Professional,,,,,
60,MERCEDES,     CLASSE B 2,25570,2019,48047,Diesel,automatic,noir,6,Professional,,,,,
60,DS,      5,25570,2018,70217,Diesel,automatic,noirperlanera,12,Professional,,,,,
4,AUDI,     Q2,25570,2019,89308,Petrol,automatic,blanc,12,Professional,,,,,
51,PEUGEOT,     208 (2E GENERATION),25510,2022,10401,Petrol,automatic,grisartense,12,Professional,,,,,
4,MERCEDES,     CLASSE B 2,25480,2019,36088,Diesel,mechanic,noir,12,Professional,,,,,
18,BMW,     SERIE 5 F10,25400,2012,48034,Petrol,automatic,gris,6,Professional,,,,,
60,BMW,     SERIE 3 F31 TOURING,25390,2018,90352,Diesel,mechanic,bleu,12,Professional,,,,,
54,AUDI,     Q5,25370,2014,177021,Diesel,automatic,grisclair,6,Professional,,,,,
41,KIA,     STONIC,25360,2022,68,Petrol,mechanic,rougemã©tal,0,Professional,,,,,
4,DS,      5,25350,2019,49998,Diesel,mechanic,kweblancnacre,12,Professional,,,,,
3,MINI,      3 5P,25300,2020,18127,Petrol,automatic,noir,12,Professional,,,,,
32,VOLKSWAGEN,     GOLF SPORTSVAN,25280,2020,23521,Petrol,mechanic,blanc,12,Professional,,,,,
12,PEUGEOT,     308 (2E GENERATION),25280,2021,17476,Diesel,automatic,noir,12,Professional,,,,,
60,VOLKSWAGEN,     TIGUAN 2,25280,2018,102190,Diesel,automatic,noirnacre,12,Professional,,,110.0,,
5,PEUGEOT,     3008 (2E GENERATION),25280,2019,77082,Diesel,automatic,rouge,12,Professional,,,,,
60,BMW,     SERIE 3 F31 TOURING,25280,2018,83841,Diesel,automatic,beige,24,Professional,,,,,
18,PEUGEOT,     308 (2E GENERATION) SW,25200,2019,47571,Diesel,automatic,noir,12,Professional,,,,,
48,MINI,      3 5P,25200,2019,26937,Petrol,mechanic,midnightblack,24,Professional,,,,,
12,VOLKSWAGEN,     GOLF 7,25180,2020,48000,Petrol,automatic,gris,12,Professional,,,,,
36,PEUGEOT,     3008 (2E GENERATION),25180,2018,25915,Petrol,mechanic,blanc,6,Professional,,,,,
53,AUDI,     A3 (3E GENERATION) SPORTBACK,25180,2020,34720,Petrol,automatic,gris,0,Professional,,,,,
21,VOLKSWAGEN,     GOLF 7,25180,2020,38724,Petrol,automatic,blanc,12,Professional,,,,,
60,RENAULT,     MEGANE 3 COUPE RS,25170,2016,66242,Petrol,mechanic,blanc,3,Professional,,,,,
19,CITROEN,     C5 AIRCROSS,25150,2020,79707,Diesel,automatic,blanc,12,Professional,,,,,
3,PEUGEOT,     3008 (2E GENERATION),25130,2019,64312,Petrol,mechanic,blanc,12,Professional,,,,,
60,MAZDA,     MX5 (4E GENERATION) ST,25110,2017,62903,Petrol,mechanic,grismetal,6,Professional,,,118.0,,
60,OPEL,     GRANDLAND X,25090,2020,32675,Petrol,automatic,gris,12,Professional,,,,,
6,HYUNDAI,     I30 (3E GENERATION),25080,2021,25380,Petrol,automatic,gris,0,Professional,,,,,
25,PEUGEOT,     3008 (2E GENERATION),25070,2019,89939,Diesel,mechanic,blanc,12,Professional,,,,,
15,NISSAN,     LEAF 2,25060,2022,11,Electric,automatic,noir,0,Professional,yes,270.0,,350.0,114.2
47,SEAT,     ATECA,25060,2019,60270,Petrol,mechanic,bleu,12,Professional,,,,,
54,MERCEDES,     CLASSE B 2,25050,2018,23762,Petrol,mechanic,blanc,12,Professional,,,,,
25,HYUNDAI,     SANTA FE 3,25050,2017,95475,Diesel,automatic,noir,12,Professional,,,,,
60,FERRARI,     GTC4,248580,2018,17296,Petrol,automatic,grismetal,6,Professional,,,449.0,,
60,SEAT,     ATECA,24980,2018,77688,Petrol,automatic,noir,12,Professional,,,,,
60,PEUGEOT,     3008 (2E GENERATION),24980,2020,52250,Petrol,mechanic,blanc,6,Professional,,,,,
60,NISSAN,     QASHQAI 2,24980,2019,29963,Petrol,mechanic,noir,12,Professional,,,,,
60,DS,      5,24970,2018,79135,Diesel,automatic,noir,12,Professional,,,,,
60,VOLKSWAGEN,     TIGUAN 2,24970,2017,131023,Diesel,mechanic,gris,0,Professional,,,,,
42,MAZDA,     CX-5,24970,2017,80132,Diesel,automatic,gris,12,Professional,,,,,
60,MERCEDES,     CLASSE A 3,24920,2019,75226,Petrol,automatic,noir,3,Professional,,,,,
30,VOLKSWAGEN,     POLO 6 GTI,24870,2019,71400,Petrol,automatic,noir,4,Professional,,,,,
14,PEUGEOT,     3008 (2E GENERATION),24840,2019,69205,Diesel,mechanic,gris,12,Professional,,,,,
60,BMW,     X1 F48,24840,2018,112435,Diesel,automatic,grisfoncã©metal,3,Professional,,,110.0,,
37,MINI,      3 CABRIOLET,24810,2017,94026,Diesel,mechanic,gris,6,Professional,,,,,
18,PEUGEOT,     208 (2E GENERATION),24790,2021,3215,Petrol,mechanic,jaunefaro,0,Professional,,,,,
60,CITROEN,     C3 (3E GENERATION),24790,2022,1,Petrol,mechanic,grisartense(mã©tallisã©),12,Professional,,,,,
60,NISSAN,     QASHQAI 2,24780,2019,27843,Petrol,mechanic,noir,12,Professional,,,,,
14,PEUGEOT,     3008 (2E GENERATION),24780,2018,118172,Diesel,mechanic,grisfoncã©metal,6,Professional,,,88.0,,
60,RENAULT,     CLIO 5,24770,2022,12,Petrol,automatic,blancglacier,0,Professional,,,,,
50,OPEL,     ASTRA 5 SPORTS TOURER,24770,2021,34174,Petrol,automatic,grismineral,12,Professional,,,,,
60,MINI,      3 3P,24760,2019,17819,Petrol,automatic,gris,3,Professional,,,,,
10,FORD,     PUMA 2,24730,2022,12960,Petrol,mechanic,bleuisla,12,Professional,,,,,
60,BMW,     SERIE 1 F20 5 PORTES,24730,2019,29849,Petrol,mechanic,alpinweiss,24,Professional,,,,,
54,PEUGEOT,     208 (2E GENERATION),24700,2021,17566,Petrol,mechanic,grisfoncã©,12,Professional,,,,,
37,RENAULT,     KADJAR,24690,2021,37816,Diesel,mechanic,gristitanium,12,Professional,,,,,
60,TOYOTA,     COROLLA 12,24660,2021,26374,Petrol-electric hybrid,automatic,blanc,0,Professional,no,,,207.0,3.6
9,ABARTH,     500 (2E GENERATION),24620,2019,28448,Petrol,automatic,noir,3,Professional,,,,,
6,AUDI,     Q5,24620,2014,91728,Petrol,mechanic,grisanthracitemetal,6,Professional,,,165.0,,
15,FIAT,     500 X,24620,2022,11,Diesel,mechanic,noircinemapastel,0,Professional,,,,,
20,MINI,     COUNTRYMAN 2,24620,2018,49680,Petrol,mechanic,gris,12,Professional,,,,,
21,PEUGEOT,     3008 (2E GENERATION),24610,2019,73157,Diesel,mechanic,vert,12,Professional,,,,,
31,OPEL,     CROSSLAND,24590,2022,103,Diesel,mechanic,noir,0,Professional,,,,,
60,PEUGEOT,     208 (2E GENERATION),24580,2021,24,Petrol,mechanic,grisclair,24,Professional,,,,,
3,OPEL,     INSIGNIA 2 GRAND SPORT,24580,2019,51881,Diesel,automatic,noir,12,Professional,,,,,
7,CITROEN,     C3 (3E GENERATION),24580,2021,10464,Petrol,automatic,autre,12,Professional,,,,,
10,MINI,      3 5P,24540,2019,50464,Petrol,automatic,grismã‰tal,6,Professional,,,,,
36,KIA,     STONIC,24510,2022,13134,Petrol,automatic,grismetal,12,Professional,,,,,
53,VOLKSWAGEN,     T-CROSS,24500,2021,17331,Petrol,mechanic,blanc,0,Professional,,,,,
9,RENAULT,     SCENIC 4,24400,2020,14674,Diesel,automatic,mieltoitnoir,12,Professional,,,,,
60,PEUGEOT,     3008 (2E GENERATION),24390,2019,45844,Diesel,mechanic,metalliccooper,6,Professional,,,,,
36,AUDI,     A6 (4E GENERATION) AVANT,24380,2017,195566,Diesel,automatic,grisf,3,Professional,,,,,
4,RENAULT,     KADJAR,24380,2020,32844,Diesel,mechanic,bleu,12,Professional,,,,,
22,AUDI,     Q5,24380,2015,156485,Diesel,automatic,noir,3,Professional,,,,,
60,MERCEDES,     SL 2,24360,2005,48506,Petrol,automatic,grismetal,6,Professional,,,180.0,,
35,VOLKSWAGEN,     GOLF 7,24360,2018,78334,Diesel,automatic,noir,6,Professional,,,,,
60,MAZDA,     MX5 (4E GENERATION),24330,2018,38119,Petrol,mechanic,blancmetal,6,Professional,,,96.0,,
13,MINI,     COUNTRYMAN 2,24300,2019,75664,Diesel,mechanic,orange,12,Professional,,,,,
34,MAZDA,     MX5 (4E GENERATION) ST,24270,2017,29549,Petrol,mechanic,noirmetal,6,Professional,,,118.0,,
10,MAZDA,     3 (4E GENERATION),24270,2020,107600,Diesel,automatic,machinegraymã©tallisã©,12,Professional,,,,,
60,KIA,     XCEED,24270,2021,122,Petrol,mechanic,rouge,63,Professional,,,,,
60,RENAULT,     CAPTUR 2,24260,2022,122,Petrol,mechanic,gris,0,Professional,,,,,
10,MERCEDES,     CLASSE C 4,24240,2017,112468,Diesel,automatic,gris,6,Professional,,,,,
60,BMW,     SERIE 2 F45 ACTIVE TOURER,24230,2018,95468,Diesel,automatic,noir,0,Professional,,,,,
60,OPEL,     ASTRA 5 SPORTS TOURER,24180,2021,43526,Diesel,automatic,grisfoncã©,12,Professional,,,,,
60,RENAULT,     MEGANE 4,24180,2020,45260,Diesel,automatic,grisclairverni,12,Professional,,,85.0,,
13,MERCEDES,     CLASSE CLS 2,24180,2013,180902,Diesel,automatic,gris,6,Professional,,,,,
16,PEUGEOT,     308 (2E GENERATION) SW,24180,2021,44705,Diesel,automatic,noir,12,Professional,,,,,
50,TOYOTA,     YARIS 4,24170,2022,12,Petrol-electric hybrid,automatic,marron,0,Professional,no,,,178.0,4.3
60,BMW,     SERIE 2 F45 ACTIVE TOURER,24130,2020,79956,Diesel,automatic,bordeaux,12,Professional,,,,,
26,RENAULT,     CLIO 5,24130,2022,12,Petrol,mechanic,grisplatine,24,Professional,,,,,
32,VOLKSWAGEN,     GOLF 7,24100,2018,70944,Diesel,automatic,rouge,6,Professional,,,,,
51,RENAULT,     CAPTUR 2,24090,2022,12,Petrol,mechanic,bleu,12,Professional,,,,,
11,PEUGEOT,     308 (2E GENERATION) GTI,24090,2018,140841,Petrol,mechanic,blanc,6,Professional,,,,,
26,AUDI,     Q2,24070,2019,61270,Diesel,mechanic,gris,6,Professional,,,,,
60,SEAT,     ARONA,24070,2022,3469,Petrol,automatic,gris,12,Professional,,,,,
60,BMW,     X3 F25,24070,2017,153890,Diesel,automatic,gris,0,Professional,,,,,
34,RENAULT,     MEGANE 4,24060,2022,11,Diesel,mechanic,gris,12,Professional,,,,,
10,VOLKSWAGEN,     T-CROSS,24060,2021,21659,Petrol,mechanic,blancverni,24,Professional,,,70.0,,
60,FIAT,     500 (3E GENERATION),24040,2022,1890,Electric,automatic,noir,21,Professional,yes,319.0,,364.0,
5,JEEP,     RENEGADE,23980,2021,44971,Diesel,mechanic,jetsetblue,12,Professional,,,,,
30,RENAULT,     KOLEOS 2,23980,2018,95414,Diesel,mechanic,blanc,0,Professional,,,,,
38,MERCEDES,     SLK 2,23980,2007,99960,Petrol,automatic,blanc,6,Professional,,,,,
13,VOLKSWAGEN,     POLO 6 GTI,23980,2019,60255,Petrol,automatic,blancverni,6,Professional,,,147.0,,
60,CITROEN,     C4 CACTUS,23970,2020,2678,Petrol,automatic,emeraudechrystal,12,Professional,,,,,
60,RENAULT,     ZOE,23970,2020,6826,Electric,automatic,bleufoudre,6,Professional,yes,,,400.0,
11,MERCEDES,     CLASSE A 3,23970,2015,85871,Petrol,automatic,noirmetal,6,Professional,,,115.0,,
16,HYUNDAI,     I30 (3E GENERATION) SW,23960,2021,53083,Petrol,automatic,rouge,0,Professional,,,,,
21,MINI,      3 5P,23960,2016,47600,Petrol,automatic,noir,12,Professional,,,,,
9,VOLKSWAGEN,     GOLF 6 R,23960,2013,95920,Petrol,automatic,blancverni,6,Professional,,,199.0,,
46,RENAULT,     CAPTUR 2,23860,2022,120,Petrol,mechanic,gris,0,Professional,,,,,
25,CITROEN,     C5 AIRCROSS,23860,2020,199176,Diesel,automatic,gris,12,Professional,,,,,
37,SEAT,     ARONA,23860,2022,10194,Petrol,automatic,bleu,24,Professional,,,,,
4,TOYOTA,     C-HR,23850,2020,48995,Petrol-electric hybrid,automatic,blancnacrã©,36,Professional,no,,,202.0,6.5
58,CITROEN,     C5 AIRCROSS,23830,2020,44944,Petrol,mechanic,noirperlanera,12,Professional,,,,,
9,PEUGEOT,     208 (2E GENERATION),23820,2022,11029,Diesel,mechanic,rougeelixir,12,Professional,,,,,
20,PEUGEOT,     3008 (2E GENERATION),23820,2019,61246,Petrol,mechanic,metallic,6,Professional,,,,,
12,BMW,     SERIE 3 F30,23780,2016,105791,Diesel,automatic,gris,6,Professional,,,,,
3,MINI,      3 3P,23780,2019,46846,Petrol,mechanic,noir,12,Professional,,,,,
60,HYUNDAI,     KONA,23770,2020,30878,Petrol,automatic,galacticgrey,12,Professional,,,,,
14,PEUGEOT,     208 (2E GENERATION),23760,2021,16704,Petrol,mechanic,bleumetal,12,Professional,,,75.0,,
60,VOLKSWAGEN,     T-ROC,23760,2020,42123,Petrol,mechanic,orange,12,Professional,,,,,
60,PEUGEOT,     308 (2E GENERATION),23760,2021,15588,Diesel,mechanic,grisclair,12,Professional,,,,,
60,DACIA,     DUSTER 2,23760,2021,5916,Diesel,mechanic,grisplatine,12,Professional,,,,,
4,MERCEDES,     CLASSE B 2,23750,2019,34672,Diesel,mechanic,noir,12,Professional,,,,,
59,AUDI,     A4 (5E GENERATION) AVANT,23740,2017,85913,Diesel,mechanic,noir,12,Professional,,,,,
30,PEUGEOT,     3008 (2E GENERATION),23740,2020,100738,Diesel,mechanic,blanc,12,Professional,,,,,
60,AUDI,     TT 2 ROADSTER,23740,2013,74773,Diesel,mechanic,noir,12,Professional,,,,,
9,MINI,      3 5P,23740,2018,53150,Petrol,automatic,rouge,60,Professional,,,,,
20,BMW,     X3 F25,23710,2013,157038,Diesel,automatic,noirmetal,6,Professional,,,135.0,,
48,ABARTH,     500 (2E GENERATION),23710,2020,30209,Petrol,mechanic,col.pastelextraevertadrenaline,12,Professional,,,,,
60,OPEL,     ASTRA 5,23700,2020,21809,Diesel,automatic,grisfoncã©metal,12,Professional,,,,,
46,RENAULT,     CAPTUR 2,23660,2022,119,Petrol,mechanic,gris,0,Professional,,,,,
26,LAND ROVER,     RANGE ROVER EVOQUE COUPE,23660,2014,134827,Diesel,mechanic,gris,3,Professional,,,,,
48,RENAULT,     CAPTUR 2,23650,2022,111,Petrol,mechanic,rougedesir/toitnoir,24,Professional,,,,,
3,PEUGEOT,     3008 (2E GENERATION),23610,2019,63231,Petrol,mechanic,blanc,12,Professional,,,,,
18,VOLKSWAGEN,     TIGUAN 2,23600,2018,139851,Diesel,mechanic,blanc,6,Professional,,,,,
60,AUDI,     A3 (3E GENERATION) SPORTBACK,23590,2019,90195,Diesel,automatic,noir,0,Professional,,,,,
60,MINI,     COUNTRYMAN 2,23580,2019,88706,Diesel,mechanic,noir,0,Professional,,,,,
41,VOLKSWAGEN,     GOLF 7,23580,2019,24045,Diesel,mechanic,blanc,12,Professional,,,,,
8,MINI,      3 5P,23570,2018,65886,Diesel,automatic,noir,6,Professional,,,,,
18,RENAULT,     MASTER 3,23570,2018,90238,Diesel,mechanic,blancglacier,12,Professional,,,,,
20,CITROEN,     C3 AIRCROSS,23540,2020,80972,Petrol,automatic,noir,12,Professional,,,,,
60,MAZDA,     MX5 (4E GENERATION),23530,2017,19481,Petrol,mechanic,noirmetal,6,Professional,,,118.0,,
45,AUDI,     A4 (5E GENERATION) AVANT,23520,2017,79948,Diesel,automatic,argent,12,Professional,,,,,
28,PEUGEOT,     3008 (2E GENERATION),23500,2019,90720,Petrol,automatic,blancopaque(vernisansreflet),6,Professional,,,121.0,,
9,VOLKSWAGEN,     TIGUAN 2,23490,2018,86917,Diesel,mechanic,blanc,12,Professional,,,,,
32,MINI,      3 CABRIOLET,23470,2017,123691,Diesel,automatic,noir,0,Professional,,,,,
60,RENAULT,     CAPTUR 2,23470,2022,11,Petrol,mechanic,gris,12,Professional,,,,,
27,SKODA,     FABIA 4,23420,2022,3050,Petrol,mechanic,orangephoenix,0,Professional,,,,,
27,RENAULT,     CLIO 5,23420,2022,12,Petrol,automatic,noir,12,Professional,,,,,
60,VOLKSWAGEN,     TIGUAN,23380,2013,92251,Diesel,automatic,noir,12,Professional,,,,,
39,CITROEN,     JUMPY 3 FOURGON,23380,2019,111165,Diesel,mechanic,blanc,12,Professional,,,,,
6,PEUGEOT,     308 (2E GENERATION),23370,2020,27492,Diesel,automatic,autre,12,Professional,,,,,
60,RENAULT,     CLIO 5,23350,2022,15778,Petrol,automatic,gristitanium,0,Professional,,,,,
60,CITROEN,     C3 (3E GENERATION),23350,2022,1,Petrol,mechanic,blanc,12,Professional,,,,,
3,BMW,     SERIE 2 F45 ACTIVE TOURER,23300,2016,70691,Petrol,automatic,grismetal,12,Professional,,,170.0,,
44,RENAULT,     MEGANE 3 COUPE RS,23290,2016,58540,Petrol,mechanic,noir,0,Professional,,,,,
11,MERCEDES,     CLASSE E 4,23290,2015,87264,Diesel,automatic,gris,12,Professional,,,,,
5,BMW,     SERIE 3 GT F34,23250,2015,166656,Diesel,automatic,grismetal,12,Professional,,,135.0,,
60,PORSCHE,     CAYENNE,23230,2008,180687,Petrol,automatic,grisanthracitemetal,3,Professional,,,213.0,,
60,OPEL,     INSIGNIA 2 GRAND SPORT,23210,2018,97001,Diesel,mechanic,grisfoncã©,12,Professional,,,,,
51,MINI,      3 CLUBMAN,23210,2019,64606,Petrol,automatic,rouge,6,Professional,,,,,
11,JEEP,     RENEGADE,23200,2020,12019,Petrol,mechanic,noir,12,Professional,,,,,
59,VOLKSWAGEN,     GOLF 7,23200,2019,37227,Petrol,mechanic,gris,3,Professional,,,,,
30,BMW,     SERIE 2 F45 ACTIVE TOURER,23200,2018,61904,Petrol-electric hybrid,automatic,anthracite,12,Professional,yes,41.0,,,
25,FIAT,     500 X,23190,2022,12,Petrol,mechanic,noircinemapastel,0,Professional,,,,,
48,KIA,     STONIC,23190,2022,12,Petrol,mechanic,gris,12,Professional,,,,,
60,BMW,     X1 F48,23180,2019,83056,Diesel,mechanic,saphirschwarz,12,Professional,,,,,
60,BMW,     SERIE 2 F45 ACTIVE TOURER,23170,2019,18018,Diesel,automatic,glaciersilbermetallise,24,Professional,,,,,
60,VOLKSWAGEN,     GOLF SPORTSVAN,23160,2020,20360,Petrol,mechanic,noirintensemetalli,12,Professional,,,,,
60,BMW,     SERIE 3 F30,23150,2018,55280,Petrol,mechanic,gris,12,Professional,,,,,
9,PEUGEOT,     3008 (2E GENERATION),23140,2019,109961,Diesel,mechanic,gris,6,Professional,,,,,
10,MERCEDES,     CLASSE A 3,23140,2014,148108,Diesel,automatic,violetmetal,12,Professional,,,100.0,,
27,RENAULT,     MEGANE 4,23110,2021,18419,Diesel,mechanic,blanc,12,Professional,,,,,
60,RENAULT,     CLIO 5,23110,2022,13,Petrol,mechanic,bleu,12,Professional,,,,,
60,VOLVO,     V40 (2E GENERATION) CROSS COUNTRY,23110,2018,54411,Diesel,mechanic,grisfoncã©metal,12,Professional,,,88.0,,
60,OPEL,     CROSSLAND X,23080,2021,27150,Diesel,automatic,grisclair,12,Professional,,,,,
13,PEUGEOT,     2008 (2E GENERATION),23070,2021,21564,Diesel,mechanic,orangefusion,12,Professional,,,,,
60,OPEL,     ASTRA 5 SPORTS TOURER,23070,2021,36249,Diesel,automatic,bleunautique,12,Professional,,,,,
46,VOLKSWAGEN,     TIGUAN 2,23020,2018,136440,Diesel,mechanic,blanc,6,Professional,,,,,
23,BMW,     SERIE 4 F32,23000,2014,80013,Petrol,mechanic,gris,6,Professional,,,,,
60,PORSCHE,     911 TYPE 991 CABRIOLET TURBO,229990,2018,20295,Petrol,automatic,bleunuit,12,Professional,,,,,
55,PORSCHE,     911 TYPE 991 GT3,224980,2018,11250,Petrol,automatic,noir,0,Professional,,,,,
60,PORSCHE,     911 TYPE 991 TARGA,221960,2019,20460,Petrol,automatic,noirmetal,3,Professional,,,331.0,,
11,HYUNDAI,     I20 (3E GENERATION),22990,2021,17644,Petrol,automatic,bleufoncã©mã©tal,12,Professional,,,,,
5,TOYOTA,     C-HR,22940,2020,44802,Petrol-electric hybrid,automatic,bleugraphite,12,Professional,no,,,202.0,6.5
60,PEUGEOT,     508,22940,2018,63525,Diesel,automatic,blancnacrã©e,12,Professional,,,,,
9,PEUGEOT,     308 (2E GENERATION) SW,22940,2019,52814,Petrol,automatic,noirperlanera,12,Professional,,,,,
38,PEUGEOT,     2008,22880,2020,25448,Petrol,automatic,grisartense,12,Professional,,,,,
15,RENAULT,     CLIO 5,22860,2022,125,Petrol,mechanic,bleu,0,Professional,,,,,
3,RENAULT,     TALISMAN ESTATE,22800,2020,104380,Diesel,automatic,bleu,12,Professional,,,,,
31,CITROEN,     C4 CACTUS,22800,2021,24088,Diesel,mechanic,gris,12,Professional,,,,,
42,CITROEN,     GRAND C4 PICASSO 2,22800,2018,81795,Diesel,automatic,gris,12,Professional,,,,,
33,HONDA,     JAZZ 4,22790,2022,11,Petrol-electric hybrid,automatic,noircristal,0,Professional,no,,,,
13,MERCEDES,     CLASSE A 3,22780,2014,115800,Diesel,automatic,noir,6,Professional,,,,,
60,AUDI,     Q3,22780,2013,90374,Diesel,mechanic,bleufoncã©,12,Professional,,,,,
60,VOLKSWAGEN,     T-ROC,22740,2019,69703,Petrol,mechanic,jaune,0,Professional,,,,,
4,PEUGEOT,     3008 (2E GENERATION),22690,2018,67911,Diesel,mechanic,gris,12,Professional,,,,,
54,PEUGEOT,     208 (2E GENERATION),22680,2022,10146,Petrol,mechanic,noir,24,Professional,,,,,
60,PEUGEOT,     208 (2E GENERATION),22670,2021,25651,Petrol,mechanic,noir,12,Professional,,,,,
60,PEUGEOT,     208 (2E GENERATION),22660,2021,34307,Petrol,mechanic,noir,12,Professional,,,,,
4,PEUGEOT,     5008 (2E GENERATION),22660,2018,157952,Diesel,automatic,noir,12,Professional,,,,,
12,JEEP,     RENEGADE,22640,2020,21160,Petrol,mechanic,gris,12,Professional,,,,,
60,RENAULT,     CAPTUR 2,22640,2022,11,Petrol,mechanic,orange,12,Professional,,,,,
60,MINI,      3 5P,22600,2019,48285,Petrol,automatic,gris,12,Professional,,,,,
6,AUDI,     A3 (3E GENERATION) SPORTBACK,22580,2017,52668,Petrol,automatic,rouge,12,Professional,,,,,
60,RENAULT,     CAPTUR 2,22560,2022,11,Petrol,mechanic,grishighl/tnoi,0,Professional,,,,,
60,MAZDA,     3 (4E GENERATION),22560,2020,26250,Diesel,mechanic,blanc,11,Professional,,,,,
44,VOLKSWAGEN,     GOLF 7,22540,2019,31866,Diesel,automatic,noirmetal,6,Professional,,,85.0,,
60,DS,      5,22530,2018,75825,Hybrid diesel-electric,automatic,blanc,12,Professional,no,3.0,,150.0,
54,AUDI,     A3 (3E GENERATION) SPORTBACK,22530,2019,61315,Diesel,mechanic,noirmythos,12,Professional,,,,,
60,BMW,     SERIE 2 F45 ACTIVE TOURER,22530,2019,94725,Diesel,automatic,alpinweiss,24,Professional,,,,,
26,NISSAN,     NAVARA,22520,2017,82215,Diesel,mechanic,noirverni,3,Professional,,,106.0,,
60,PEUGEOT,     208 (2E GENERATION),22510,2021,36853,Petrol,mechanic,grisartense,12,Professional,,,,,
60,MERCEDES,     GLA,22490,2017,130900,Diesel,automatic,grismetal,6,Professional,,,100.0,,
13,VOLKSWAGEN,     GOLF SPORTSVAN,22490,2019,39153,Petrol,automatic,blancpur,12,Professional,,,,,
20,CITROEN,     C3 AIRCROSS,22480,2020,77618,Petrol,automatic,grisfonce,12,Professional,,,,,
27,RENAULT,     CLIO 5,22470,2022,12,Petrol,automatic,blanc,12,Professional,,,,,
35,PORSCHE,     BOXSTER 2 TYPE 987,22470,2006,169060,Petrol,mechanic,noirmetal,6,Professional,,,176.0,,
11,RENAULT,     KADJAR,22450,2020,12696,Petrol,mechanic,blanc,12,Professional,,,,,
60,MAZDA,     MX5 (4E GENERATION) ST,22450,2017,49145,Petrol,mechanic,rougemetal,0,Professional,,,118.0,,
59,PEUGEOT,     208 (2E GENERATION),22420,2021,16747,Petrol,mechanic,blanc,12,Professional,,,,,
25,FORD,     KUGA 2,22410,2019,91324,Diesel,automatic,gris,12,Professional,,,,,
25,FIAT,     PANDA 3 4X4,22400,2022,12,Petrol,mechanic,grismodapastelextra-sã©rie,0,Professional,,,,,
23,SEAT,     LEON 3,22400,2020,41772,Petrol,mechanic,gris,12,Professional,,,,,
15,FIAT,     500 X,22400,2022,12,Petrol,mechanic,noircinemapastel,0,Professional,,,,,
60,MAZDA,     MX5 (4E GENERATION),22390,2017,44744,Petrol,mechanic,grismetal,6,Professional,,,96.0,,
60,BMW,     X3 F25,22380,2018,182852,Diesel,automatic,gris,6,Professional,,,,,
